"Correct_Response","Data_Type","Data_Type_Sort","Diff","ID_1","ID_2","ID_changer","New_Pitch","Percent_1","Percent_2","Pitch_1","Pitch_2","Radius_1","Radius_2","Size_1","Size_2","Trial_Type","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_button_mouse","correct_instructions","correct_mouse","count_ExperimentLoop","count_ExperimentSequence","count_Fixation","count_Intermediate","count_Pitch_1","count_Pitch_2","count_Stimulus","count_Visual_1","count_Visual_2","count_end_of_experiment","count_experiment","count_instructions","count_logger","count_mouse","count_reset_feedback","count_trial","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","initiation_time","initiation_time_mouse","keyboard_backend","live_row","live_row_ExperimentLoop","logfile","mouse_backend","opensesame_codename","opensesame_version","psychopy_monitor","psychopy_waitblanking","repeat_cycle","response","response_end_of_experiment","response_instructions","response_mouse","response_time","response_time_end_of_experiment","response_time_instructions","response_time_mouse","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_ExperimentLoop","time_ExperimentSequence","time_Fixation","time_Intermediate","time_Pitch_1","time_Pitch_2","time_Stimulus","time_Visual_1","time_Visual_2","time_end_of_experiment","time_experiment","time_instructions","time_logger","time_mouse","time_reset_feedback","time_trial","timestamps_mouse","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","xpos_mouse","ypos_mouse"
"BIGGER","Training","0","-750","5","6","1","2250","0.53","0.48","1500","2250","183","201.5","366","403","Control","undefined","undefined","undefined","undefined","black","yes","psycho","psycho","psycho","0","uniform","0","BIGGER","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Thu Dec  8 13:56:59 2022","A template containing a practice and an experimental phase","yes","experiment.osexp","C:/Users/lauri/Desktop/Local_Git/Laurits_Code/Experiments/PercAct - Exam","no","mono","no","18","no","white","no","yes","900","778.2511999830604","778.2511999830604","psycho","0","0","C:/Users/lauri/Desktop/Local_Git/Laurits_Code/Experiments/PercAct - Exam/Data/subject-2.csv","psycho","Lentiform Loewenfeld","3.3.12","testMonitor","yes","0","SMALLER","NA","space","SMALLER","1224.9736001249403","NA","162829.53280000947","1224.9736001249403","2","psycho","1024","2","48000","-16","experiment","0","even","168080.11340000667","168079.8669999931","168942.39340000786","170461.76029997878","169442.1173001174","171462.35850011","172472.9230001103","169958.05689995177","171966.47730004042","NA","5226.229600142688","5248.522999929264","173700.38920012303","172473.01750001498","NA","168935.13200012967","[172474.4194999803, 172484.81840011664, 172495.02460006624, 172505.33710001037, 172515.66529995762, 172525.83210007288, 172535.99509992637, 172546.26139998436, 172556.44630012102, 172566.6368000675, 172576.86330005527, 172587.1007000096, 172597.28430001996, 172607.61480010115, 172617.76740010828, 172627.9341999907, 172638.54470010847, 172649.25889996812, 172659.4489000272, 172669.6824999526, 172679.87699992955, 172690.0967999827, 172700.3576999996, 172710.59380006045, 172720.7629000768, 172730.8913001325, 172741.09810008667, 172751.3427999802, 172762.1828999836, 172772.607000079, 172782.77510008775, 172792.91460011154, 172803.1097999774, 172813.31770005636, 172823.53490008973, 172833.7306000758, 172843.91910000704, 172854.05989992432, 172864.24420005642, 172874.42860007286, 172884.56319994293, 172894.7455000598, 172904.88429996185, 172915.14110006392, 172925.41010002606, 172935.6482999865, 172945.8908000961, 172956.17090002634, 172966.4819999598, 172976.7501000315, 172986.97139997967, 172997.14170000516, 173007.28230015375, 173017.50770001672, 173027.7671001386, 173038.17220008932, 173048.49600000307, 173058.76479996368, 173068.9226000104, 173079.1263000574, 173089.27420014516, 173099.43570010364, 173109.65300002135, 173119.80869993567, 173129.97570005246, 173140.185700031, 173150.35649994388, 173160.58939998038, 173170.81780009903, 173181.11629993655, 173191.47259998135, 173201.70390000567, 173211.9168001227, 173222.0793000888, 173232.28320013732, 173242.4719000701, 173252.67069996335, 173263.1345000118, 173273.7392000854, 173284.1787999496, 173294.48239994235, 173304.7072000336, 173314.91390010342, 173325.723499991, 173336.1973001156, 173346.38989996165, 173356.58659995534, 173366.78300006315, 173376.98170007206, 173387.26500002667, 173397.48909999616, 173407.74499997497, 173417.95830009505, 173428.17039997317, 173438.37100011297, 173448.55120009743, 173458.7475999724, 173468.9213000238, 173479.09980011173, 173489.30800007656, 173499.49480011128, 173509.7052999772, 173519.92520014755, 173530.1485999953, 173540.560600115, 173551.03790014982, 173561.2457001116, 173571.41640014015, 173581.77049993537, 173592.35409996472, 173602.73719998077, 173612.94330004603, 173623.2338999398, 173633.63950001076, 173643.86259997264, 173654.00919993408, 173664.18870002963, 173674.4081999641, 173684.55850007012, 173694.73250000738, 173699.39310010523]","Extended template","0","0","0","yes","1600","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -58.0, -103.0, -103.0, -170.0, -200.0, -215.0, -242.0, -266.0, -266.0, -266.0, -314.0, -322.0, -322.0, -343.0, -353.0, -356.0, -359.0, -359.0, -370.0, -375.0, -375.0, -388.0, -390.0, -390.0, -400.0, -402.0, -404.0, -404.0, -411.0, -412.0, -412.0, -417.0, -419.0, -419.0, -423.0, -424.0, -424.0, -425.0, -425.0, -425.0, -425.0, -425.0, -426.0, -426.0]","[356, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 293.0, 242.0, 242.0, 144.0, 96.0, 60.0, 9.0, -57.0, -57.0, -57.0, -154.0, -164.0, -164.0, -191.0, -201.0, -204.0, -207.0, -207.0, -214.0, -217.0, -217.0, -225.0, -227.0, -227.0, -245.0, -251.0, -257.0, -257.0, -271.0, -273.0, -273.0, -285.0, -287.0, -287.0, -292.0, -293.0, -293.0, -293.0, -293.0, -293.0, -293.0, -293.0, -293.0, -293.0]"
"SMALLER","Training","0","500","5","4","-1","1000","0.53","0.5","1500","1000","183","167","366","333","Control","undefined","undefined","undefined","undefined","black","yes","psycho","psycho","psycho","0","uniform","1","SMALLER","undefined","1","0","0","1","1","1","1","1","1","1","0","0","0","1","1","0","1","Thu Dec  8 13:56:59 2022","A template containing a practice and an experimental phase","yes","experiment.osexp","C:/Users/lauri/Desktop/Local_Git/Laurits_Code/Experiments/PercAct - Exam","no","mono","no","18","no","white","no","yes","900","818.8746999949217","818.8746999949217","psycho","1","1","C:/Users/lauri/Desktop/Local_Git/Laurits_Code/Experiments/PercAct - Exam/Data/subject-2.csv","psycho","Lentiform Loewenfeld","3.3.12","testMonitor","yes","0","SMALLER","NA","space","SMALLER","1207.325299968943","NA","162829.53280000947","1207.325299968943","2","psycho","1024","2","48000","-16","experiment","0","even","168080.11340000667","168079.8669999931","173853.44079998322","175371.22280010954","174353.5071001388","176370.7471000962","177383.04829993285","174867.30869999155","176875.8903001435","NA","5226.229600142688","5248.522999929264","178592.5722999964","177383.1491000019","NA","173846.11680009402","[177384.18100005947, 177395.428000018, 177405.758399982, 177415.98209994845, 177426.19800008833, 177436.36590009555, 177446.557499934, 177456.75599994138, 177466.92720009014, 177477.0889999345, 177487.28060000576, 177497.45850008912, 177507.61800003238, 177517.80800009146, 177528.0643000733, 177538.27599994838, 177548.50669996813, 177558.73599997722, 177568.91650008038, 177579.1069001425, 177589.27719993517, 177599.43539998494, 177609.64579996653, 177619.80440001935, 177629.96920011938, 177640.160900075, 177650.66220005974, 177661.1077999696, 177671.32010008208, 177681.48580007255, 177691.6753000114, 177701.880000066, 177712.0596000459, 177722.2581000533, 177732.46260010637, 177742.6219000481, 177752.7684001252, 177763.09100002982, 177773.3571000863, 177783.56719994918, 177794.10830000415, 177804.4676000718, 177814.6438000258, 177824.84470005147, 177835.00150009058, 177845.18290008418, 177855.34180002287, 177865.8231999725, 177876.00730010308, 177886.2575001549, 177896.52459998615, 177906.90780011937, 177917.18360013328, 177927.3904999718, 177937.56849993952, 177947.71259999834, 177957.9205000773, 177968.09870004654, 177978.24820014648, 177988.43319993466, 177998.66440007463, 178008.9124001097, 178019.1949000582, 178029.40830006264, 178039.59590010345, 178049.80230005458, 178059.9803000223, 178070.12900011614, 178080.3177000489, 178090.5110000167, 178100.65039992332, 178111.03480006568, 178121.27210013568, 178131.48960005492, 178141.71570003964, 178151.934399968, 178162.19620010816, 178172.49369993806, 178182.68750002608, 178192.866000114, 178203.0557000544, 178213.26470002532, 178223.45659998246, 178233.6599000264, 178243.88600001112, 178254.10200003535, 178264.32389998809, 178274.53930000775, 178284.7216001246, 178294.9443999678, 178305.14790001325, 178315.32880011946, 178325.8935001213, 178336.04339999147, 178346.30990005098, 178356.5627001226, 178367.4602000974, 178377.75480002165, 178388.04570003413, 178398.24080001563, 178408.9139001444, 178419.1998001188, 178429.403899936, 178439.58620005287, 178449.80870001018, 178460.01300006174, 178470.21299996413, 178480.45179992914, 178490.808499977, 178501.26280006953, 178511.49239996448, 178521.70759998262, 178531.9173000753, 178543.82649995387, 178554.00050012395, 178564.1867001541, 178574.4237001054, 178584.6951000858, 178591.5063000284]","Extended template","0","0","0","yes","1600","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -45.0, -72.0, -135.0, -160.0, -160.0, -216.0, -250.0, -250.0, -283.0, -328.0, -328.0, -364.0, -369.0, -379.0, -379.0, -395.0, -397.0, -399.0, -399.0, -401.0, -402.0, -402.0, -402.0, -402.0, -404.0, -405.0, -405.0, -406.0, -406.0, -408.0, -408.0, -409.0, -409.0, -409.0, -409.0, -409.0, -409.0, -409.0]","[356, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 356.0, 299.0, 271.0, 198.0, 160.0, 160.0, 79.0, 38.0, 38.0, -11.0, -86.0, -86.0, -180.0, -199.0, -229.0, -229.0, -277.0, -279.0, -281.0, -281.0, -283.0, -283.0, -283.0, -283.0, -283.0, -283.0, -282.0, -282.0, -282.0, -282.0, -283.0, -284.0, -285.0, -286.0, -287.0, -287.0, -287.0, -287.0, -287.0]"
